['D:\\dev\\src\\lifepim\\lifepim\\SAMPLE_DATA\\DATA\\blogs\\Checklist for building a business website.txt', 'Use', 1]
['D:\\dev\\src\\lifepim\\lifepim\\SAMPLE_DATA\\DATA\\blogs\\Checklist for building a business website.txt', 'processor', 1]
['D:\\dev\\src\\lifepim\\lifepim\\SAMPLE_DATA\\DATA\\blogs\\Checklist for building a business website.txt', 'page.\n\nThings', 1]
['D:\\dev\\src\\lifepim\\lifepim\\SAMPLE_DATA\\DATA\\blogs\\Checklist for building a business website.txt', 'correct', 1]
['D:\\dev\\src\\lifepim\\lifepim\\SAMPLE_DATA\\DATA\\blogs\\Checklist for building a business website.txt', 'load', 1]
['D:\\dev\\src\\lifepim\\lifepim\\SAMPLE_DATA\\DATA\\blogs\\Checklist for building a business website.txt', 'CSS', 1]
['D:\\dev\\src\\lifepim\\lifepim\\SAMPLE_DATA\\DATA\\blogs\\Checklist for building a business website.txt', 'Host', 1]
['D:\\dev\\src\\lifepim\\lifepim\\SAMPLE_DATA\\DATA\\blogs\\Checklist for building a business website.txt', 'Write', 1]
['D:\\dev\\src\\lifepim\\lifepim\\SAMPLE_DATA\\DATA\\blogs\\Checklist for building a business website.txt', 'good', 2]
['D:\\dev\\src\\lifepim\\lifepim\\SAMPLE_DATA\\DATA\\blogs\\Checklist for building a business website.txt', 'website\n~~~\n[', 1]
['D:\\dev\\src\\lifepim\\lifepim\\SAMPLE_DATA\\DATA\\blogs\\Checklist for building a business website.txt', 'focus', 1]
['D:\\dev\\src\\lifepim\\lifepim\\SAMPLE_DATA\\DATA\\blogs\\Checklist for building a business website.txt', 'happened', 1]
['D:\\dev\\src\\lifepim\\lifepim\\SAMPLE_DATA\\DATA\\blogs\\Checklist for building a business website.txt', 'system\n~~~\n\n##Testing\nCongratulations', 1]
['D:\\dev\\src\\lifepim\\lifepim\\SAMPLE_DATA\\DATA\\blogs\\Checklist for building a business website.txt', 'article', 1]
['D:\\dev\\src\\lifepim\\lifepim\\SAMPLE_DATA\\DATA\\blogs\\Checklist for building a business website.txt', 'content\n~~~\n\n##Get', 1]
['D:\\dev\\src\\lifepim\\lifepim\\SAMPLE_DATA\\DATA\\blogs\\Checklist for building a business website.txt', 'following:', 1]
